ImageID,TrueLabel,PredictedLabel_RMN,Confidence_RMN,ProcessingTime_RMN,PredictedLabel_DeepFace,Confidence_DeepFace,ProcessingTime_DeepFace
28709.png,0,4.0,0.6836254596710205,1.012573003768921,0,0.92,1.2872686386108398
28716.png,0,0.0,0.9635828137397766,0.32657384872436523,4,0.95,0.027005910873413086
28718.png,0,0.0,0.7790796160697937,0.6601486206054688,5,0.0,0.015003204345703125
28720.png,0,0.0,0.9323727488517761,0.5701284408569336,3,0.94,0.03300738334655762
28726.png,0,3.0,0.3919949531555176,0.32457923889160156,5,0.95,0.03900861740112305
28731.png,0,0.0,0.380969762802124,0.5271191596984863,4,0.97,0.036008596420288086
28733.png,0,0.0,0.8568794131278992,0.281522274017334,0,0.96,0.03400778770446777
28737.png,0,5.0,0.6199873685836792,0.2940664291381836,6,0.0,0.016004323959350586
28743.png,0,0.0,0.9346360564231873,0.567631721496582,0,0.88,0.022004365921020508
28749.png,0,0.0,0.7554219961166382,0.28759121894836426,3,0.92,0.04200911521911621
28759.png,0,0.0,0.4299275577068329,0.2710609436035156,6,0.91,0.03500771522521973
28779.png,0,6.0,0.443845272064209,0.2690606117248535,2,0.94,0.03707766532897949
28789.png,0,0.0,0.8592357635498047,0.51448655128479,3,0.96,0.041008949279785156
28790.png,0,0.0,0.48459959030151367,0.5126056671142578,3,0.0,0.018006086349487305
28800.png,0,3.0,0.9289873242378235,0.7644548416137695,0,0.0,0.01901555061340332
28808.png,0,4.0,0.5675113797187805,0.2720601558685303,2,0.95,0.03299450874328613
28811.png,0,0.0,0.5762808918952942,0.2720623016357422,0,0.94,0.028006315231323242
28820.png,0,0.0,0.7648378610610962,0.26805973052978516,6,0.0,0.01800370216369629
28821.png,0,0.0,0.2784290313720703,0.27306222915649414,0,0.92,0.03700852394104004
28830.png,0,4.0,0.6844990253448486,0.26407337188720703,4,0.0,0.019004344940185547
28831.png,0,0.0,0.7451010346412659,0.2720663547515869,4,0.94,0.029006242752075195
28840.png,0,0.0,0.45857301354408264,0.2720646858215332,6,0.94,0.02431321144104004
28860.png,0,0.0,0.6868906021118164,0.5128982067108154,0,0.92,0.02700638771057129
28867.png,0,0.0,0.5635762810707092,0.5161161422729492,0,0.92,0.023005247116088867
28869.png,0,0.0,0.6580199003219604,0.27106165885925293,6,0.94,0.041010141372680664
28872.png,0,0.0,0.7340222597122192,0.27506208419799805,4,0.94,0.03401517868041992
28883.png,0,1.0,0.31219008564949036,0.28206348419189453,6,0.96,0.042000770568847656
28884.png,0,0.0,0.9003264307975769,0.5234220027923584,6,0.94,0.03800845146179199
28885.png,0,1.0,0.443090558052063,0.2757277488708496,4,0.0,0.018004179000854492
28894.png,0,0.0,0.43569666147232056,0.2665681838989258,2,0.94,0.025005340576171875
28907.png,0,0.0,0.7604612112045288,0.5311191082000732,0,0.95,0.020006656646728516
28915.png,0,4.0,0.46948444843292236,0.27306127548217773,4,0.96,0.03500628471374512
28920.png,0,5.0,0.6221063137054443,0.27506279945373535,6,0.97,0.027006149291992188
28927.png,0,3.0,0.8264908194541931,0.27506136894226074,4,0.95,0.02800583839416504
28932.png,0,4.0,0.5292879939079285,0.5191192626953125,4,0.95,0.026006460189819336
28933.png,0,3.0,0.6288207769393921,0.27606201171875,2,0.94,0.02800607681274414
28946.png,0,4.0,0.48212042450904846,0.27106189727783203,6,0.91,0.043891191482543945
28947.png,0,0.0,0.9370116591453552,0.27306103706359863,0,0.95,0.024004697799682617
28952.png,0,0.0,0.977281391620636,0.2710611820220947,0,0.97,0.03700876235961914
28957.png,0,0.0,0.40385252237319946,0.27306151390075684,6,0.95,0.029007673263549805
28969.png,0,5.0,0.6156532168388367,0.2690601348876953,3,0.93,0.03095245361328125
28971.png,0,0.0,0.9376121759414673,0.2770655155181885,0,0.97,0.03600811958312988
28974.png,0,0.0,0.9583141803741455,0.2690579891204834,3,0.97,0.025005578994750977
28975.png,0,3.0,0.3314327299594879,0.5161166191101074,2,0.0,0.018004417419433594
28994.png,0,0.0,0.8342867493629456,0.27706241607666016,4,0.0,0.017003774642944336
28995.png,0,5.0,0.9722529053688049,0.2710607051849365,6,0.0,0.016007661819458008
28996.png,0,3.0,0.4215215742588043,0.5199296474456787,3,0.92,0.042005300521850586
29013.png,0,3.0,0.5068544745445251,0.2740650177001953,6,0.95,0.025005817413330078
29024.png,0,,,0.021001815795898438,3,0.0,0.015002965927124023
29033.png,0,0.0,0.9530072212219238,0.274061918258667,2,0.0,0.017004013061523438
29035.png,0,3.0,0.29475000500679016,0.2785656452178955,2,0.0,0.01600360870361328
29041.png,0,0.0,0.3051470220088959,0.5286233425140381,1,0.94,0.028006553649902344
29047.png,0,0.0,0.8188074827194214,0.2815666198730469,4,0.95,0.026005029678344727
29053.png,0,5.0,0.30335691571235657,0.5331230163574219,2,0.95,0.03600883483886719
29060.png,0,0.0,0.36438360810279846,0.511493444442749,4,0.95,0.0200042724609375
29066.png,0,5.0,0.33179178833961487,0.264678955078125,4,0.0,0.017009496688842773
29085.png,0,3.0,0.6105963587760925,0.27005672454833984,4,0.93,0.03100132942199707
29089.png,0,5.0,0.40960296988487244,0.27306246757507324,4,0.9,0.03500795364379883
29103.png,0,3.0,0.5509462356567383,0.27005982398986816,3,0.0,0.017004013061523438
29108.png,0,2.0,0.6816328167915344,0.27306079864501953,0,0.98,0.031006813049316406
29109.png,0,0.0,0.36875084042549133,0.2700612545013428,6,0.96,0.040132999420166016
